block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-19,mouse,mouse_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it eat cheese?
-1,-18,pig,pig_1.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it eaten as bacon?
-1,-17,lion,lion_2.wav,nomask,visual,yes,visual-yes,4,Does it have teeth?
-1,-16,grasshopper,grasshopper_2.wav,nomask,nonvisual,no,nonvisual-no,4,Is it unable to fly?
-1,-15,table,table_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it used for eating on?
-1,-14,penguin,penguin_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it unable to fly?
-1,-13,strawberry,strawberry_4.wav,mask,visual,yes,visual-yes,1,Is it red?
-1,-12,giraffe,giraffe_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live in zoos?
-1,-11,chicken,chicken_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it live in a coop?
-1,-10,apple,apple_3.wav,mask,nonvisual,no,nonvisual-no,4,Is it timid?
-1,-9,donkey,donkey_2.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it make noises?
-1,-8,pineapple,pineapple_4.wav,nomask,visual,yes,visual-yes,2,Does it have an inside?
-1,-7,deer,deer_2.wav,mask,visual,no,visual-no,1,Is it yellow?
-1,-6,alligator,alligator_3.wav,nomask,nonvisual,no,nonvisual-no,3,Is it used for freight?
-1,-5,rabbit,rabbit_1.wav,nomask,visual,yes,visual-yes,3,Does it have whiskers?
-1,-4,swan,swan_1.wav,mask,visual,yes,visual-yes,2,Does it have a beak?
-1,-3,dog,dog_3.wav,nomask,visual,no,visual-no,5,Does it have a mask?
-1,-2,raccoon,raccoon_4.wav,nomask,visual,yes,visual-yes,2,Does it have a tail?
-1,-1,tiger,tiger_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,0,giraffe,giraffe_3.wav,nomask,visual,no,visual-no,1,Is it green?
0,1,grasshopper,grasshopper_4.wav,nomask,nonvisual,no,nonvisual-no,3,Does it taste good?
0,2,pig,pig_4.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live on farms?
0,3,raccoon,raccoon_3.wav,mask,visual,no,visual-no,4,Does it have a long neck?
0,4,tiger,tiger_1.wav,mask,visual,yes,visual-yes,3,Is it orange?
0,5,rabbit,rabbit_2.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it a pet?
0,6,mouse,mouse_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a rodent?
0,7,pineapple,pineapple_4.wav,nomask,visual,yes,visual-yes,2,Does it have an inside?
0,8,chicken,chicken_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it eaten by frying?
0,9,rabbit,rabbit_1.wav,nomask,visual,yes,visual-yes,3,Does it have whiskers?
0,10,pineapple,pineapple_2.wav,mask,visual,yes,visual-yes,3,Does it have skin?
0,11,grasshopper,grasshopper_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it found in summer?
0,12,donkey,donkey_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,13,grasshopper,grasshopper_2.wav,mask,visual,yes,visual-yes,2,Does it have legs?
0,14,pineapple,pineapple_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it grow on trees?
0,15,apple,apple_2.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it used for cider?
