subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,0,is-it-round:table,visual,Is it round?,table,table_1.wav,mask,no,timeout,2000.0,0
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,1,does-it-have-a-neck:bottle,visual,Does it have a neck?,bottle,bottle_4.wav,mask,yes,yes,1760.5443418,1
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,2,does-it-have-large-ears:elephant,visual,Does it have large ears?,elephant,elephant_2.wav,mask,yes,yes,1410.48896656,1
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,3,does-it-have-eyes:deer,visual,Does it have eyes?,deer,deer_4.wav,mask,yes,yes,1523.13340631,1
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,4,does-it-have-a-seat:bike,visual,Does it have a seat?,bike,bike_2.wav,nomask,yes,yes,561.825334332,1
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,5,is-it-nutritious:chair,nonvisual,Is it nutritious?,chair,chair_4.wav,mask,no,no,337.594345964,1
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,6,does-it-have-stripes:raccoon,visual,Does it have stripes?,raccoon,raccoon_1.wav,nomask,yes,no,601.092140557,0
MWPR110,110,2016_Jan_27_1255,LL-George,0,practice,7,is-it-an-animal:mouse,nonvisual,Is it an animal?,mouse,mouse_4.wav,mask,yes,yes,368.987625395,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,9,is-it-a-mammal:bike,nonvisual,Is it a mammal?,bike,bike_1.wav,nomask,no,no,379.778114937,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,10,does-it-have-teeth:lion,visual,Does it have teeth?,lion,lion_2.wav,nomask,yes,yes,486.375130436,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,11,does-it-live-in-africa:carrot,nonvisual,Does it live in Africa?,carrot,carrot_3.wav,mask,no,timeout,2000.0,0
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,12,is-it-tropical:pig,nonvisual,Is it tropical?,pig,pig_3.wav,nomask,no,no,688.946077961,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,13,does-it-grow-in-hawaii:pineapple,nonvisual,Does it grow in Hawaii?,pineapple,pineapple_3.wav,mask,yes,yes,674.817069658,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,14,does-it-bark:dog,nonvisual,Does it bark?,dog,dog_4.wav,nomask,yes,yes,156.032700199,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,15,is-it-furniture:chair,nonvisual,Is it furniture?,chair,chair_1.wav,mask,yes,yes,132.038577016,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,16,is-it-long:alligator,visual,Is it long?,alligator,alligator_4.wav,mask,yes,yes,1174.56996165,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,17,is-it-hunted-by-people:deer,nonvisual,Is it hunted by people?,deer,deer_2.wav,nomask,yes,yes,93.0329626714,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,18,does-it-have-a-zipper:jacket,visual,Does it have a zipper?,jacket,jacket_4.wav,mask,yes,yes,383.100949381,1
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,19,does-it-have-seeds:raccoon,visual,Does it have seeds?,raccoon,raccoon_2.wav,nomask,no,yes,1989.00593443,0
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,20,does-it-live-in-the-desert:camel,nonvisual,Does it live in the desert?,camel,camel_2.wav,nomask,yes,no,197.41816948,0
MWPR110,110,2016_Jan_27_1255,LL-George,1,test,21,does-it-grow-on-trees:pineapple,nonvisual,Does it grow on trees?,pineapple,pineapple_3.wav,nomask,yes,yes,1039.25176208,1
