question,cue,question_slug,proposition_id,correct_response,feat_type
Does it have jaws?,alligator,does-it-have-jaws,does-it-have-jaws:alligator,yes,visual
Is it long?,alligator,is-it-long,is-it-long:alligator,yes,visual
Is it round?,apple,is-it-round,is-it-round:apple,yes,visual
Is it yellow?,banana,is-it-yellow,is-it-yellow:banana,yes,visual
Does it have a peel?,banana,does-it-have-a-peel,does-it-have-a-peel:banana,yes,visual
Does it have a skin?,banana,does-it-have-a-skin,does-it-have-a-skin:banana,yes,visual
Is it beige?,camel,is-it-beige,is-it-beige:camel,yes,visual
Is it large?,camel,is-it-large,is-it-large:camel,yes,visual
Does it have legs?,camel,does-it-have-legs,does-it-have-legs:camel,yes,visual
Is it brown?,camel,is-it-brown,is-it-brown:camel,yes,visual
Does it have a hump?,camel,does-it-have-a-hump,does-it-have-a-hump:camel,yes,visual
Does it have four legs?,deer,does-it-have-four-legs,does-it-have-four-legs:deer,yes,visual
Does it have hair?,dog,does-it-have-hair,does-it-have-hair:dog,yes,visual
Does it have hooves?,donkey,does-it-have-hooves,does-it-have-hooves:donkey,yes,visual
Does it have a tail?,donkey,does-it-have-a-tail,does-it-have-a-tail:donkey,yes,visual
Does it have four legs?,donkey,does-it-have-four-legs,does-it-have-four-legs:donkey,yes,visual
Does it have legs?,donkey,does-it-have-legs,does-it-have-legs:donkey,yes,visual
Does it have four legs?,elephant,does-it-have-four-legs,does-it-have-four-legs:elephant,yes,visual
Does it have ears?,elephant,does-it-have-ears,does-it-have-ears:elephant,yes,visual
Does it have long legs?,giraffe,does-it-have-long-legs,does-it-have-long-legs:giraffe,yes,visual
Is it tall?,giraffe,is-it-tall,is-it-tall:giraffe,yes,visual
Does it have legs?,grasshopper,does-it-have-legs,does-it-have-legs:grasshopper,yes,visual
Is it green?,grasshopper,is-it-green,is-it-green:grasshopper,yes,visual
Does it have sleeves?,jacket,does-it-have-sleeves,does-it-have-sleeves:jacket,yes,visual
Does it have pockets?,jacket,does-it-have-pockets,does-it-have-pockets:jacket,yes,visual
Does it have a zipper?,jacket,does-it-have-a-zipper,does-it-have-a-zipper:jacket,yes,visual
Does it have a tail?,lion,does-it-have-a-tail,does-it-have-a-tail:lion,yes,visual
Does it have a tail?,mouse,does-it-have-a-tail,does-it-have-a-tail:mouse,yes,visual
Is it grey?,mouse,is-it-grey,is-it-grey:mouse,yes,visual
Does it have feet?,penguin,does-it-have-feet,does-it-have-feet:penguin,yes,visual
Is it black?,penguin,is-it-black,is-it-black:penguin,yes,visual
Does it have legs?,pig,does-it-have-legs,does-it-have-legs:pig,yes,visual
Is it pink?,pig,is-it-pink,is-it-pink:pig,yes,visual
Does it have a snout?,pig,does-it-have-a-snout,does-it-have-a-snout:pig,yes,visual
Does it have an inside?,pineapple,does-it-have-an-inside,does-it-have-an-inside:pineapple,yes,visual
Does it have ears?,rabbit,does-it-have-ears,does-it-have-ears:rabbit,yes,visual
Does it have feet?,rabbit,does-it-have-feet,does-it-have-feet:rabbit,yes,visual
Does it have whiskers?,rabbit,does-it-have-whiskers,does-it-have-whiskers:rabbit,yes,visual
Is it red?,strawberry,is-it-red,is-it-red:strawberry,yes,visual
Does it have wings?,swan,does-it-have-wings,does-it-have-wings:swan,yes,visual
Does it have a long neck?,swan,does-it-have-a-long-neck,does-it-have-a-long-neck:swan,yes,visual
Does it have feathers?,swan,does-it-have-feathers,does-it-have-feathers:swan,yes,visual
Is it flat?,table,is-it-flat,is-it-flat:table,yes,visual
Is it made of wood?,table,is-it-made-of-wood,is-it-made-of-wood:table,yes,visual
Does it have whiskers?,tiger,does-it-have-whiskers,does-it-have-whiskers:tiger,yes,visual
Is it small?,toad,is-it-small,is-it-small:toad,yes,visual
Does it have an engine?,train,does-it-have-an-engine,does-it-have-an-engine:train,yes,visual
Does it have hooves?,zebra,does-it-have-hooves,does-it-have-hooves:zebra,yes,visual
Does it have four legs?,zebra,does-it-have-four-legs,does-it-have-four-legs:zebra,yes,visual
Does it have stripes?,zebra,does-it-have-stripes,does-it-have-stripes:zebra,yes,visual
Is it small?,alligator,is-it-small,is-it-small:alligator,no,visual
Does it have a beak?,apple,does-it-have-a-beak,does-it-have-a-beak:apple,no,visual
Does it have pockets?,apple,does-it-have-pockets,does-it-have-pockets:apple,no,visual
Is it black?,apple,is-it-black,is-it-black:apple,no,visual
Does it have hooves?,banana,does-it-have-hooves,does-it-have-hooves:banana,no,visual
Does it have a beak?,banana,does-it-have-a-beak,does-it-have-a-beak:banana,no,visual
Does it have a tail?,banana,does-it-have-a-tail,does-it-have-a-tail:banana,no,visual
Does it have feet?,bike,does-it-have-feet,does-it-have-feet:bike,no,visual
Does it have sleeves?,bike,does-it-have-sleeves,does-it-have-sleeves:bike,no,visual
Does it have eyes?,bottle,does-it-have-eyes,does-it-have-eyes:bottle,no,visual
Does it have teeth?,bottle,does-it-have-teeth,does-it-have-teeth:bottle,no,visual
Does it have seeds?,camel,does-it-have-seeds,does-it-have-seeds:camel,no,visual
Does it have a cork?,camel,does-it-have-a-cork,does-it-have-a-cork:camel,no,visual
Does it have stripes?,camel,does-it-have-stripes,does-it-have-stripes:camel,no,visual
Does it have many cars?,carrot,does-it-have-many-cars,does-it-have-many-cars:carrot,no,visual
Does it have hooves?,chicken,does-it-have-hooves,does-it-have-hooves:chicken,no,visual
Does it have a cushion?,deer,does-it-have-a-cushion,does-it-have-a-cushion:deer,no,visual
Is it pink?,dog,is-it-pink,is-it-pink:dog,no,visual
Does it have a pointed end?,donkey,does-it-have-a-pointed-end,does-it-have-a-pointed-end:donkey,no,visual
Is it small?,donkey,is-it-small,is-it-small:donkey,no,visual
Does it have hooves?,elephant,does-it-have-hooves,does-it-have-hooves:elephant,no,visual
Does it have scales?,elephant,does-it-have-scales,does-it-have-scales:elephant,no,visual
Is it green?,giraffe,is-it-green,is-it-green:giraffe,no,visual
Is it muddy?,giraffe,is-it-muddy,is-it-muddy:giraffe,no,visual
Does it have an engine?,grasshopper,does-it-have-an-engine,does-it-have-an-engine:grasshopper,no,visual
Is it made of wood?,grasshopper,is-it-made-of-wood,is-it-made-of-wood:grasshopper,no,visual
Does it have hair?,jacket,does-it-have-hair,does-it-have-hair:jacket,no,visual
