version,subj_id,seed,computer,date,initials,compliance,notes
third-run,MWPR101,101,Kramer,1/27/2016,NS,5,
third-run,MWPR102,102,George,1/27/2016,NS,5,
third-run,MWPR103,103,Elaine,1/27/2016,NS,5,
third-run,MWPR104,104,Jerry,1/27/2016,NS,5,
third-run,MWPR105,105,Kramer,1/27/2016,NS,5,
third-run,MWPR106,106,George,1/27/2016,NS,5,
third-run,MWPR107,107,Elaine,1/27/2016,NS,5,
third-run,MWPR108,108,Jerry,1/27/2016,NS,5,
third-run,MWPR109,109,Kramer,1/27/2016,NS,5,
third-run,MWPR110,110,George,1/27/2016,NS,5,
third-run,MWPR111,111,Elaine,1/27/2016,NS,5,
third-run,MWPR112,112,Jerry,1/27/2016,NS,5,
third-run,MWPR113,113,Kramer,1/27/2016,NS,5,
third-run,MWPR114,114,George,1/27/2016,NS,5,
third-run,MWPR115,115,Elaine,1/27/2016,NS,5,
third-run,MWPR116,116,Jerry,1/27/2016,NS,5,
third-run,MWPR117,117,Kramer,1/28/2016,NS,5,
third-run,MWPR118,118,George,1/28/2016,NS,5,
third-run,MWPR119,119,Kramer,1/28/2016,NS,5,
third-run,MWPR120,120,George,1/28/2016,NS,5,
third-run,MWPR121,121,Elaine,1/28/2016,NS,5,
third-run,MWPR122,122,Jerry,1/28/2016,NS,5,
third-run,MWPR123,123,Kramer,1/28/2016,DZ,5,
third-run,MWPR124,124,George,1/28/2016,DZ,5,
third-run,MWPR125,125,Elaine,1/28/2016,DZ,5,
third-run,MWPR126,126,Jerry,1/28/2016,DZ,5,
third-run,MWPR127,127,Kramer,1/28/2016,DZ,5,
third-run,MWPR128,128,George,1/28/2016,DZ,5,
third-run,MWPR129,129,Elaine,1/28/2016,DZ,5,
third-run,MWPR130,130,Jerry,1/28/2016,DZ,5,
third-run,MWPR131,131,Kramer,1/28/2016,DZ,5,
third-run,MWPR132,132,George,1/28/2016,DZ,5,
third-run,MWPR133,133,Elaine,1/28/2016,DZ,5,
third-run,MWPR134,134,Kramer,1/28/2016,DZ,5,
third-run,MWPR135,135,George,1/28/2016,DZ,5,
third-run,MWPR136,136,Elaine,1/28/2016,DZ,3,kinda drowsy
third-run,MWPR137,137,Jerry,1/28/2016,DZ,5,
third-run,MWPR138,138,Kramer,1/29/2016,JR,5,
third-run,MWPR139,139,George,1/29/2016,JR,5,
third-run,MWPR140,140,Elaine,1/29/2016,JR,5,
third-run,MWPR141,141,Jerry,1/29/2016,JR,3,"a little spacy, wasn't always completely focused on task"
third-run,MWPR142,142,Kramer,1/29/2016,JR,5,
third-run,MWPR143,143,George,1/29/2016,JR,5,
third-run,MWPR144,144,Elaine,1/29/2016,JR,5,
third-run,MWPR145,145,Jerry,1/29/2016,JR,5,
third-run,MWPR146,146,Kramer,1/29/2016,JR,5,
third-run,MWPR147,147,George,1/29/2016,JR,5,
third-run,MWPR148,148,Elaine,1/29/2016,JR,5,
third-run,MWPR149,149,Jerry,1/29/2016,JR,5,
third-run,MWPR150,150,Kramer,1/29/2015,JR,5,
third-run,MWPR151,151,George,1/29/2016,JR,5,
third-run,MWPR152,152,Elaine,1/29/2016,JR,5,
