cue,ftype,qid,question,response,question_id,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max
alligator,nonvisual,1,Is it an animal?,yes,alligator:nonvisual:1:yes,5.0,2.0,0.0,2.0,2.0,1.2,0.8366600265340756,0.0,2.0,-2.0,0.0,-2.0,-2.0,0.6,0.5477225575051661,0.0,1.0
alligator,nonvisual,2,Is it a reptile?,yes,alligator:nonvisual:2:yes,7.0,2.0,0.0,2.0,2.0,1.5714285714285714,1.3972762620115438,0.0,4.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,2.4285714285714284,1.1338934190276817,1.0,4.0
alligator,nonvisual,3,Does it live in swamps?,yes,alligator:nonvisual:3:yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.3333333333333333,0.5773502691896258,-2.0,-1.0,1.6666666666666667,1.5275252316519465,0.0,3.0
alligator,nonvisual,4,Does it live in water?,yes,alligator:nonvisual:4:yes,6.0,1.6666666666666667,0.8164965809277259,0.0,2.0,2.3333333333333335,1.3662601021279466,0.0,4.0,-1.1666666666666667,1.1690451944500122,-2.0,1.0,2.1666666666666665,1.3291601358251257,0.0,4.0
alligator,nonvisual,5,Does it eat people?,yes,alligator:nonvisual:5:yes,5.0,1.2,1.0954451150103321,0.0,2.0,2.4,1.51657508881031,1.0,4.0,-1.2,1.0954451150103321,-2.0,0.0,3.0,1.224744871391589,1.0,4.0
alligator,visual,1,Is it green?,yes,alligator:visual:1:yes,4.0,0.0,1.4142135623730951,-2.0,1.0,1.0,0.816496580927726,0.0,2.0,-1.5,0.5773502691896257,-2.0,-1.0,0.75,0.9574271077563381,0.0,2.0
alligator,visual,2,Is it long?,yes,alligator:visual:2:yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.25,1.2583057392117916,1.0,4.0,-1.75,0.5,-2.0,-1.0,1.5,1.7320508075688772,0.0,4.0
alligator,visual,3,Does it have scales?,yes,alligator:visual:3:yes,5.0,0.8,1.7888543819998317,-2.0,2.0,0.8,1.3038404810405297,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,2.2,1.6431676725154984,0.0,4.0
alligator,visual,4,Does it have a tail?,yes,alligator:visual:4:yes,6.0,1.3333333333333333,1.632993161855452,-2.0,2.0,1.1666666666666667,0.9831920802501751,0.0,2.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.5,0.8366600265340756,0.0,2.0
alligator,visual,5,Does it have jaws?,yes,alligator:visual:5:yes,3.0,1.6666666666666667,0.5773502691896255,1.0,2.0,1.6666666666666667,1.1547005383792515,1.0,3.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,1.3333333333333333,1.5275252316519468,0.0,3.0
alligator,nonvisual,1,Is it a mammal?,no,alligator:nonvisual:1:no,6.0,-1.3333333333333333,1.632993161855452,-2.0,2.0,2.0,1.7888543819998317,0.0,4.0,-1.1666666666666667,0.7527726527090811,-2.0,0.0,1.6666666666666667,1.0327955589886444,0.0,3.0
alligator,nonvisual,2,Does it live in the desert?,no,alligator:nonvisual:2:no,4.0,-1.75,0.5,-2.0,-1.0,1.5,1.7320508075688772,0.0,4.0,-1.25,0.9574271077563381,-2.0,0.0,1.5,0.5773502691896257,1.0,2.0
alligator,nonvisual,3,Is it used for freight?,no,alligator:nonvisual:3:no,5.0,-0.8,1.6431676725154984,-2.0,1.0,1.2,1.3038404810405297,0.0,3.0,-1.2,0.8366600265340756,-2.0,0.0,2.0,1.224744871391589,0.0,3.0
alligator,nonvisual,4,Is it found in summer?,no,alligator:nonvisual:4:no,7.0,0.8571428571428571,0.8997354108424372,0.0,2.0,1.8571428571428572,1.2149857925879117,0.0,4.0,-0.2857142857142857,1.3801311186847085,-2.0,1.0,2.4285714285714284,1.3972762620115438,0.0,4.0
alligator,nonvisual,5,Is it a pet?,no,alligator:nonvisual:5:no,4.0,-1.5,0.5773502691896257,-2.0,-1.0,1.5,1.0,0.0,2.0,-0.75,1.2583057392117916,-2.0,1.0,1.0,1.1547005383792515,0.0,2.0
alligator,visual,1,Does it have a long tongue?,no,alligator:visual:1:no,4.0,0.25,0.5,0.0,1.0,2.5,0.5773502691896257,2.0,3.0,0.5,0.5773502691896257,0.0,1.0,1.75,0.9574271077563381,1.0,3.0
alligator,visual,2,Is it grey?,no,alligator:visual:2:no,5.0,-1.2,1.0954451150103321,-2.0,0.0,1.8,1.4832396974191326,0.0,4.0,-1.6,0.547722557505166,-2.0,-1.0,0.2,0.4472135954999579,0.0,1.0
alligator,visual,3,Is it round?,no,alligator:visual:3:no,7.0,-2.0,0.0,-2.0,-2.0,1.8571428571428572,1.864454471471609,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.8571428571428571,1.5735915849388864,0.0,4.0
alligator,visual,4,Is it small?,no,alligator:visual:4:no,8.0,-0.75,1.164964745021435,-2.0,1.0,1.375,1.407885953173359,0.0,4.0,-1.375,0.7440238091428449,-2.0,0.0,0.625,0.7440238091428449,0.0,2.0
alligator,visual,5,Is it made of metal?,no,alligator:visual:5:no,8.0,-2.0,0.0,-2.0,-2.0,1.0,1.4142135623730951,0.0,4.0,-1.875,0.3535533905932738,-2.0,-1.0,0.25,0.7071067811865476,0.0,2.0
apple,nonvisual,1,Is it a fruit?,yes,apple:nonvisual:1:yes,7.0,2.0,0.0,2.0,2.0,1.1428571428571428,1.9518001458970664,0.0,4.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,1.0,1.5275252316519468,0.0,4.0
apple,nonvisual,2,Does it grow on trees?,yes,apple:nonvisual:2:yes,6.0,2.0,0.0,2.0,2.0,2.0,1.4142135623730951,0.0,4.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.8333333333333334,0.752772652709081,0.0,2.0
apple,nonvisual,3,Is it eaten in pies?,yes,apple:nonvisual:3:yes,6.0,2.0,0.0,2.0,2.0,2.3333333333333335,1.5055453054181622,0.0,4.0,-1.5,0.8366600265340756,-2.0,0.0,1.8333333333333333,1.602081978759722,0.0,4.0
apple,nonvisual,4,Is it nutritious?,yes,apple:nonvisual:4:yes,8.0,1.875,0.3535533905932738,1.0,2.0,0.625,1.407885953173359,0.0,4.0,-1.75,0.4629100498862757,-2.0,-1.0,2.25,1.2817398889233114,0.0,4.0
apple,nonvisual,5,Is it used for cider?,yes,apple:nonvisual:5:yes,5.0,1.8,0.44721359549995815,1.0,2.0,0.6,0.8944271909999159,0.0,2.0,-1.8,0.44721359549995815,-2.0,-1.0,0.6,0.5477225575051661,0.0,1.0
apple,visual,1,Is it red?,yes,apple:visual:1:yes,8.0,0.25,0.7071067811865476,-1.0,1.0,2.625,1.0606601717798212,1.0,4.0,-1.375,0.9161253813129043,-2.0,0.0,0.625,0.7440238091428449,0.0,2.0
