cue,ftype,qid,question,response
alligator,nonvisual,5,Does it eat people?,yes
camel,nonvisual,1,Is it a bird?,no
chicken,visual,1,Is it orange?,no
deer,visual,2,Is it green?,no
donkey,nonvisual,1,Is it an animal?,yes
donkey,nonvisual,3,Is it a mammal?,yes
giraffe,visual,1,Does it have spots?,yes
pig,nonvisual,5,Does it like mud?,yes
strawberry,nonvisual,3,Is it used for making jam?,yes
table,nonvisual,2,Is it a mammal?,no
alligator,nonvisual,4,Is it found in summer?,no
alligator,visual,3,Is it round?,no
apple,nonvisual,3,Is it eaten in pies?,yes
apple,visual,4,Is it round?,yes
apple,nonvisual,4,Is it timid?,no
apple,visual,3,Does it have a beak?,no
bottle,nonvisual,1,Is it used for holding things?,yes
bottle,visual,3,Does it have armrests?,no
camel,nonvisual,5,Does it spit?,yes
camel,visual,1,Does it have stripes?,no
camel,visual,4,Does it have a cork?,no
carrot,visual,1,Is it orange?,yes
carrot,visual,4,Does it have a pointed end?,yes
chair,visual,5,Does it have a tail?,no
chicken,nonvisual,1,Does it lay eggs?,yes
chicken,visual,1,Does it have feathers?,yes
donkey,visual,3,Does it have a tail?,yes
donkey,visual,1,Is it round?,no
elephant,visual,4,Does it have fur?,no
giraffe,visual,3,Does it have long legs?,yes
giraffe,visual,4,Is it brown?,yes
giraffe,nonvisual,4,Is it an insect?,no
grasshopper,nonvisual,3,Is it found in summer?,yes
jacket,nonvisual,3,Is it worn in winter?,yes
jacket,nonvisual,1,Is it a vegetable?,no
mouse,visual,3,Does it have fur?,yes
mouse,nonvisual,4,Does it live on water?,no
mouse,visual,3,Does it have stripes?,no
penguin,nonvisual,3,Does it live in the Arctic?,yes
pineapple,visual,1,Is it yellow?,yes
pineapple,visual,5,Does it have a core?,yes
pineapple,nonvisual,5,Is it a pet?,no
strawberry,nonvisual,1,Is it a fruit?,yes
strawberry,nonvisual,3,Is it furniture?,no
swan,visual,4,Does it have wings?,yes
swan,visual,3,Does it have four legs?,no
tiger,visual,2,Is it brown?,no
train,nonvisual,3,Does it require a conductor?,yes
train,visual,1,Is it green?,no
zebra,nonvisual,1,Does it eat garbage?,no
