cue,prop_visual
accordion,0.5
airplane,0.615384615385
alligator,0.571428571429
ambulance,0.352941176471
anchor,0.230769230769
ant,0.454545454545
apartment,0.470588235294
apple,0.235294117647
apron,0.307692307692
armour,0.181818181818
ashtray,0.454545454545
asparagus,0.125
avocado,0.25
axe,0.357142857143
bag,0.416666666667
bagpipe,0.375
ball,0.111111111111
balloon,0.444444444444
banana,0.285714285714
banjo,0.545454545455
banner,0.583333333333
barn,0.375
barrel,0.5
basement,0.4375
basket,0.333333333333
bat_(animal),0.428571428571
bat_(baseball),0.375
bathtub,0.1875
baton,0.4
bayonet,0.166666666667
bazooka,0.444444444444
beans,0.166666666667
bear,0.470588235294
beaver,0.307692307692
bed,0.3125
bedroom,0.666666666667
beehive,0.125
beetle,0.727272727273
beets,0.153846153846
belt,0.545454545455
bench,0.454545454545
bike,0.666666666667
bin_(waste),0.666666666667
birch,0.444444444444
biscuit,0.2
bison,0.25
blackbird,0.7
blender,0.571428571429
blouse,0.461538461538
blueberry,0.166666666667
bluejay,0.6
board_(black),0.181818181818
board_(wood),0.230769230769
boat,0.5
bolts,0.416666666667
bomb,0.230769230769
book,0.5
bookcase,0.454545454545
boots,0.368421052632
bottle,0.357142857143
bouquet,0.25
bow_(ribbon),0.25
bow_(weapon),0.416666666667
bowl,0.285714285714
box,0.769230769231
bra,0.5
bracelet,0.5
bread,0.0714285714286
brick,0.222222222222
bridge,0.461538461538
broccoli,0.272727272727
broom,0.461538461538
brush,0.333333333333
bucket,0.571428571429
buckle,0.5
budgie,0.666666666667
buffalo,0.461538461538
buggy,0.416666666667
building,0.733333333333
bull,0.222222222222
bullet,0.384615384615
bungalow,0.75
bureau,0.444444444444
bus,0.5625
butterfly,0.384615384615
buzzard,0.727272727273
cabbage,0.133333333333
cabin,0.4
cabinet,0.555555555556
cage,0.461538461538
cake,0.0
calf,0.666666666667
camel,0.461538461538
camisole,0.466666666667
canary,0.846153846154
candle,0.428571428571
cannon,0.5
canoe,0.411764705882
cantaloupe,0.25
cap_(bottle),0.444444444444
cap_(hat),0.2
cape,0.272727272727
car,0.533333333333
card_(greeting),0.230769230769
caribou,0.533333333333
carpet,0.176470588235
carrot,0.25
cart,0.545454545455
cat,0.8
catapult,0.375
caterpillar,0.384615384615
catfish,0.666666666667
cathedral,0.363636363636
cauliflower,0.153846153846
cedar,0.454545454545
celery,0.285714285714
cellar,0.222222222222
cello,0.625
certificate,0.4
chain,0.4
chair,0.466666666667
chandelier,0.5
chapel,0.0909090909091
cheese,0.0
cheetah,0.333333333333
cherry,0.4
chickadee,0.666666666667
chicken,0.555555555556
chimp,0.5
chipmunk,0.5
chisel,0.222222222222
church,0.285714285714
cigar,0.363636363636
cigarette,0.230769230769
clam,0.333333333333
clamp,0.25
clarinet,0.583333333333
cloak,0.4
clock,0.5
closet,0.5
coat,0.611111111111
cockroach,0.461538461538
coconut,0.3
cod,0.5
coin,0.545454545455
colander,0.6
comb,0.416666666667
cork,0.142857142857
corkscrew,0.4
corn,0.416666666667
cottage,0.416666666667
couch,0.368421052632
cougar,0.555555555556
cow,0.5
coyote,0.416666666667
crab,0.461538461538
cranberry,0.166666666667
crane_(machine),0.2
crayon,0.0769230769231
crocodile,0.666666666667
crossbow,0.285714285714
crow,0.818181818182
crowbar,0.2
crown,0.285714285714
cucumber,0.333333333333
cup,0.421052631579
cupboard,0.4
curtains,0.153846153846
cushion,0.4
dagger,0.5
dandelion,0.2
deer,0.5625
desk,0.466666666667
dish,0.4
dishwasher,0.5
dog,0.642857142857
doll,0.2
dolphin,0.45
donkey,0.5
door,0.538461538462
doorknob,0.444444444444
dove,0.444444444444
drain,0.222222222222
drapes,0.117647058824
dress,0.333333333333
dresser,0.6
drill,0.5
drum,0.666666666667
duck,0.647058823529
dunebuggy,0.538461538462
eagle,0.571428571429
earmuffs,0.153846153846
eel,0.3
eggplant,0.125
elephant,0.666666666667
elevator,0.571428571429
elk,0.538461538462
emerald,0.111111111111
emu,0.7
envelope,0.272727272727
escalator,0.7
falcon,0.727272727273
fan_(appliance),0.5
faucet,0.411764705882
fawn,0.52380952381
fence,0.375
finch,0.777777777778
flamingo,0.555555555556
flea,0.266666666667
flute,0.666666666667
football,0.533333333333
fork,0.615384615385
fox,0.5
freezer,0.277777777778
fridge,0.5
frog,0.642857142857
garage,0.333333333333
garlic,0.2
gate,0.428571428571
giraffe,0.5
gloves,0.333333333333
goat,0.666666666667
goldfish,0.545454545455
goose,0.615384615385
gopher,0.714285714286
gorilla,0.428571428571
gown,0.2
grape,0.235294117647
grapefruit,0.333333333333
grasshopper,0.666666666667
grater,0.363636363636
grenade,0.461538461538
groundhog,0.25
guitar,0.625
gun,0.357142857143
guppy,0.4
hammer,0.533333333333
hamster,0.7
hare,0.733333333333
harmonica,0.6
harp,0.571428571429
harpoon,0.3
harpsichord,1.0
hatchet,0.5
hawk,0.909090909091
helicopter,0.6
helmet,0.181818181818
hoe,0.571428571429
honeydew,0.25
hook,0.333333333333
hornet,0.545454545455
horse,0.444444444444
hose,0.4
hose_(leggings),0.25
house,0.666666666667
housefly,0.692307692308
hut,0.8
hyena,0.444444444444
iguana,0.615384615385
inn,0.375
jacket,0.428571428571
jar,0.454545454545
jeans,0.384615384615
jeep,0.25
jet,0.642857142857
kettle,0.4375
key,0.25
keyboard_(musical),0.625
kite,0.384615384615
knife,0.428571428571
ladle,0.444444444444
lamb,0.333333333333
lamp,0.461538461538
lantern,0.333333333333
lemon,0.25
leopard,0.666666666667
leotards,0.0
lettuce,0.133333333333
level,0.375
lime,0.166666666667
limousine,0.333333333333
lion,0.461538461538
lobster,0.357142857143
machete,0.5
mackerel,0.5
magazine,0.5
mandarin,0.384615384615
marble,0.357142857143
mat,0.25
medal,0.545454545455
menu,0.625
microscope,0.416666666667
microwave,0.428571428571
mink,0.461538461538
mink_(coat),0.272727272727
minnow,0.6
mirror,0.272727272727
missile,0.4
mittens,0.214285714286
mixer,0.5
mole_(animal),0.666666666667
moose,0.583333333333
moth,0.571428571429
motorcycle,0.333333333333
mouse,0.470588235294
mouse_(computer),0.666666666667
mug,0.416666666667
mushroom,0.214285714286
muzzle,0.25
napkin,0.214285714286
necklace,0.533333333333
nectarine,0.375
nightgown,0.4
nightingale,1.0
nylons,0.3125
oak,0.4
octopus,0.545454545455
olive,0.214285714286
onions,0.285714285714
orange,0.428571428571
oriole,0.5
ostrich,0.611111111111
otter,0.571428571429
oven,0.307692307692
owl,0.636363636364
ox,0.444444444444
paintbrush,0.833333333333
pajamas,0.5
pan,0.5
panther,0.555555555556
pants,0.611111111111
parakeet,0.785714285714
parka,0.5
parsley,0.142857142857
partridge,0.5
peach,0.285714285714
peacock,0.5
pear,0.166666666667
pearl,0.2
peas,0.181818181818
peg,0.857142857143
pelican,0.692307692308
pen,0.6
pencil,0.466666666667
penguin,0.5
pepper,0.1
perch,0.461538461538
pheasant,0.571428571429
piano,0.636363636364
pickle,0.125
pie,0.3
pier,0.272727272727
pig,0.578947368421
pigeon,0.75
pillow,0.230769230769
pin,0.5
pine,0.25
pineapple,0.3125
pipe,0.583333333333
pipe_(smoking),0.142857142857
pistol,0.352941176471
plate,0.526315789474
platypus,0.666666666667
pliers,0.454545454545
plug_(electric),0.461538461538
plum,0.357142857143
pony,0.733333333333
porcupine,0.625
pot,0.666666666667
potato,0.166666666667
projector,0.166666666667
prune,0.352941176471
pumpkin,0.3
pyramid,0.461538461538
python,0.727272727273
rabbit,0.666666666667
raccoon,0.545454545455
racquet,0.5
radio,0.294117647059
radish,0.357142857143
raft,0.461538461538
raisin,0.230769230769
rake,0.5
raspberry,0.222222222222
rat,0.65
rattle,0.625
rattlesnake,0.705882352941
raven,0.7
razor,0.25
revolver,0.384615384615
rhubarb,0.222222222222
rice,0.25
rifle,0.5625
ring_(jewelry),0.461538461538
robe,0.333333333333
robin,0.5625
rock,0.0
rocker,0.2
rocket,0.545454545455
rooster,0.5
rope,0.416666666667
ruler,0.647058823529
sack,0.428571428571
saddle,0.333333333333
sailboat,0.538461538462
salamander,0.555555555556
salmon,0.5
sandals,0.266666666667
sandpaper,0.333333333333
sardine,0.2
saucer,0.416666666667
saxophone,0.583333333333
scarf,0.181818181818
scissors,0.555555555556
scooter,0.666666666667
screwdriver,0.388888888889
screws,0.444444444444
seagull,0.642857142857
seal,0.333333333333
seaweed,0.111111111111
shack,0.5
shawl,0.222222222222
shed,0.454545454545
sheep,0.333333333333
shell,0.142857142857
shelves,0.363636363636
shield,0.333333333333
ship,0.384615384615
shirt,0.5
shoes,0.5
shotgun,0.375
shovel,0.428571428571
shrimp,0.384615384615
sink,0.3125
skateboard,0.555555555556
skillet,0.4
skirt,0.5
skis,0.307692307692
skunk,0.636363636364
skyscraper,0.545454545455
sled,0.333333333333
sledgehammer,0.7
sleigh,0.333333333333
slingshot,0.230769230769
slippers,0.0909090909091
snail,0.444444444444
socks,0.384615384615
sofa,0.352941176471
spade,0.4
