question,cue,question_slug,proposition_id,feat_type,num_ratings,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_z,imagery_min,imagery_max,facts_mean,facts_std,facts_z,facts_min,facts_max,difficulty_mean,difficulty_std,difficulty_z,difficulty_min,difficulty_max
Is it made of metal?,alligator,is-it-made-of-metal,is-it-made-of-metal:alligator,visual,8,-2,0,-2,-2,1,1.414213562,-0.664262734,0,4,0.25,0.707106781,-1.177303452,0,2,-1.875,0.353553391,-0.919524229,-2,-1
Is it small?,alligator,is-it-small,is-it-small:alligator,visual,8,-0.75,1.164964745,-2,1,1.375,1.407885953,-0.080866089,0,4,0.625,0.744023809,-0.603774306,0,2,-1.375,0.744023809,0.207274231,-2,0
Is it grey?,alligator,is-it-grey,is-it-grey:alligator,visual,5,-1.2,1.095445115,-2,0,1.8,1.483239697,0.580316775,0,4,0.2,0.447213596,-1.253774005,0,1,-1.6,0.547722558,-0.299785076,-2,-1
Is it round?,alligator,is-it-round,is-it-round:alligator,visual,7,-2,0,-2,-2,1.857142857,1.864454471,0.669215311,0,4,0.857142857,1.573591585,-0.248732454,0,4,-2,0,-1.201223845,-2,-2
Does it have a long tongue?,alligator,does-it-have-a-long-tongue,does-it-have-a-long-tongue:alligator,visual,4,0.25,0.5,0,1,2.5,0.577350269,1.669323845,2,3,1.75,0.957427108,1.116813131,1,3,0.5,0.577350269,4.43276846,0,1
Does it have jaws?,alligator,does-it-have-jaws,does-it-have-jaws:alligator,visual,3,1.666666667,0.577350269,1,2,1.666666667,1.154700538,0.372886857,1,3,1.333333333,1.527525232,0.479558525,0,3,-1.333333333,1.154700538,0.301174103,-2,0
Does it have a tail?,alligator,does-it-have-a-tail,does-it-have-a-tail:alligator,visual,6,1.333333333,1.632993162,-2,2,1.166666667,0.98319208,-0.404975336,0,2,0.5,0.836660027,-0.794950688,0,2,-1.833333333,0.40824829,-0.825624358,-2,-1
Does it have scales?,alligator,does-it-have-scales,does-it-have-scales:alligator,visual,5,0.8,1.788854382,-2,2,0.8,1.303840481,-0.975407611,0,3,2.2,1.643167673,1.805048106,0,4,-1.6,0.894427191,-0.299785076,-2,0
Is it long?,alligator,is-it-long,is-it-long:alligator,visual,4,1.5,0.577350269,1,2,2.25,1.258305739,1.280392749,1,4,1.5,1.732050808,0.734460367,0,4,-1.75,0.5,-0.637824614,-2,-1
Is it green?,alligator,is-it-green,is-it-green:alligator,visual,4,0,1.414213562,-2,1,1,0.816496581,-0.664262734,0,2,0.75,0.957427108,-0.412597924,0,2,-1.5,0.577350269,-0.074425384,-2,-1
Is it a mammal?,alligator,is-it-a-mammal,is-it-a-mammal:alligator,nonvisual,6,-1.333333333,1.632993162,-2,2,2,1.788854382,0.891461652,0,4,1.666666667,1.032795559,0.98936221,0,3,-1.166666667,0.752772653,0.67677359,-2,0
