version,subj_id,seed,computer,date,initials,compliance,notes
first-run,MWPF201,201,Kramer,5/1/14,WR,5,
first-run,MWPF202,202,George,5/1/14,wr,5,
first-run,MWPF203,203,Elaine,5/1/14,wr,5,
first-run,MWPF204,204,Jerry,5/1/14,wr,5,
first-run,MWPF205,205,Kramer,5/1/14,wr,5,
first-run,MWPF206,206,George,5/1/14,wr,5,
first-run,MWPF207,207,Kramer,5/1/14,wr,5,
first-run,MWPF208,208,George,5/1/14,wr,5,
first-run,MWPF209,209,Elaine,5/1/14,wr,5,
first-run,MWPF210,210,Kramer,5/1/14,wr,5,
first-run,MWPF211,211,George,5/1/14,wr,5,
first-run,MWPF212,212,Elaine,5/1/14,wr,5,
first-run,MWPF213,213,Jerry,5/1/14,wr,5,
first-run,MWPF214,214,Kramer,5/1/14,wr,5,
first-run,MWPF215,215,George,5/1/14,wr,5,
first-run,MWPF216,216,Elaine,5/1/14,wr,5,
first-run,MWPF217,217,Kramer,5/1/14,wr,4,didn't wait for me to go over directions; accidentally ran it as seed 216
first-run,MWPF218,218,George,5/1/14,wr,5,
first-run,MWPF219,219,Kramer,5/2/14,cpb,5,
first-run,MWPF219,220,Jerry,5/2/14,cpb,5,
first-run,MWPF220,221,Elaine,5/2/14,cpb,5,
first-run,MWPF222,222,George,5/2/14,ns,,
first-run,MWPF223,223,Kramer,5/2/14,ns,,
first-run,MWPF225,225,Jerry,5/2/14,ns,,"The experiment wouldn't load in the Elaine room, so I transferred the person to Jerry and entered the code 225 instead of 224 "
first-run,MWPF224,224,George,5/5/14,PME,5,one more MWPF2 subj to get to 25
