subj_id,seed,computer,date,experimenter,compliance,notes
PV101,101,Kramer,2/18/2016,NS,5,
PV102,102,George,2/18/2016,NS,5,
PV103,103,Elaine,2/18/2016,NS,5,
PV104,104,,2/19/2016,NS,5,
PV105,105,,2/19/2016,NS,5,
PV106,106,,2/19/2016,NS,5,
PV107,107,Jerry,2/24/2016,XL,5,
PV108,108,Kramer,2/24/2016,XL,5,
PV109,109,George,2/24/2016,XL,5,
PV110,110,Kramer ,2/24/2016,NS,5,
PV111,111,Kramer,2/24/2016,NS,5,
PV112,112,Elaine,2/24/2016,XL,5,
PV113,113,Jerry,2/24/2016,XL,5,
PV114,114,Kramer,2/24/2016,XL,5,
PV115,115,George,2/24/2016,XL,5,
PV116,116,Kramer,2/29/2016,JR,5,
PV117,117,George,2/29/2016,JR,5,
PV118,118,Elaine,2/29/2016,JR,5,
PV119,119,Kramer,3/1/2016,DZ,5,
PV120,120,George,3/1/2016,DZ,5,
PV121,121,Kramer,3/3/2016,DZ,5,
PV122,122,George,3/3/2016,DZ,5,"
"
PV123,123,Elaine,3/3/2016,DZ,2,"snapchatting the whole thing, had to ask participant to stop, continued to look disinterested"
PV124,124,George,3/4/2016,JR,5,
PV125,125,Elaine,3/4/2016,JR,5,
PV126,126,Jerry ,3/4/2016,JR,5,
PV127,127,George,3/4/2016,JR,5,
PV128,128,Elaine,3/4/2016,JR,5,
PV129,129,Kramer,3/4/2016,JR,5,
PV130,130,George,3/4/2016,JR,5,
PV131,131,Elaine,3/4/2016,JR,5,
PV132,132,Jerry,3/4/2015,JR,5,
PV133,133,Kramer,3/4/2015,DZ,5,
PV134,134,George,3/4/2015,DZ,5,
