ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,room,subj_id,version,Room (to be filled in by experimenter),Subj id (to be filled in by experimenter),task_intro,strategy,problem_questions,prop_mask-Select a proportion (percentage) between 0 and 100 by dragging the slider.,To what extent did you look at the flashing rectangles?-To what extent did you look at the flashing rectangle?,prop_yes_resp-Select a proportion (percentage) between 0 and 100 by dragging the slider.,effect_of_mask,last_page,age,gender,native,other_lang,LocationLatitude,LocationLongitude,LocationAccuracy,Unnamed: 30
R_31T185DTcx3dvx8,Default Response Set,Anonymous,,,128.104.131.70,0,2015-12-09 15:56:59,2015-12-09 15:58:32,1,LL-George,MWPF302,question_first,,,1.0,Just thinking about what the question was.,not really.,35.0,,76.0,5.0,1.0,20.0,1.0,1.0,,43.0760955811,-89.4104003906,-1,
R_2uKBwKVxI12YJeQ,Default Response Set,Anonymous,,,128.104.131.186,0,2015-12-09 16:01:35,2015-12-09 16:02:50,1,LL-Kramer,MWPF301,question_first,,,1.0,,,88.0,,59.0,6.0,1.0,20.0,2.0,0.0,"Spanish, French, Italian",43.0760955811,-89.4104003906,-1,
R_1lirJvzu1ejU64u,Default Response Set,Anonymous,,,128.104.131.0,0,2015-12-09 16:01:03,2015-12-09 16:03:18,1,LL-ELAINE,MWPF303,question_first,,,1.0,"Came to know they were talking about the same set of words. After a while i started guessing which word the question was about, and based on that could respond quicker.",Something about a grasshopper being a secret? Might have read that wrong.,62.0,,38.0,5.0,1.0,18.0,1.0,1.0,,43.0760955811,-89.4104003906,-1,
R_VUAEH9r5rlHEfgB,Default Response Set,Anonymous,,,128.104.131.0,0,2015-12-10 15:09:46,2015-12-10 15:11:15,1,LL-ELAINE,MWPF306,question_first,,,1.0,,A dog used for protection. I said no the first time because that is not what immediately comes to mind when thinking of a dog.,37.0,,66.0,6.0,1.0,18.0,2.0,1.0,,43.0760955811,-89.4104003906,-1,
R_1OHqQK2vHSPLhzn,Default Response Set,Anonymous,,,128.104.131.70,0,2015-12-10 15:08:59,2015-12-10 15:12:02,1,LL-George,MWPF305,question_first,,,1.0,after i read the question i thought of broad possible answers so then when i heard the word it made it easy for me to distinguish if it is similar to the object or not,no,80.0,,90.0,5.0,1.0,19.0,2.0,1.0,spanish,43.0760955811,-89.4104003906,-1,
R_1iaH5r2vkjtFKTG,Default Response Set,Anonymous,,,128.104.131.186,0,2015-12-10 15:12:13,2015-12-10 15:13:47,1,LL-Kramer,MWPF304,question_first,,,1.0,"If the question had anything to do with an object (non-living), I knew immediately to press no as soon as I heard the first sound of the name of an animal",no,33.0,,67.0,3.0,1.0,21.0,2.0,1.0,none,43.0760955811,-89.4104003906,-1,
R_2798wcoiypsN6ki,Default Response Set,Anonymous,,,128.104.131.70,0,2015-12-10 15:51:31,2015-12-10 15:53:27,1,LL-George,MWPF309,question_first,,,1.0,"After the trait was identified, it helped me to look away from the screen to think about whether or not the sound matched ","there were some like ""does it have stripes?"" and it was raccoon and as compared to a tiger, they don't, but I guess in general they technically do. ",40.0,,60.0,5.0,1.0,18.0,2.0,1.0,,43.0760955811,-89.4104003906,-1,
R_3hnm6kcLpZG12Y7,Default Response Set,Anonymous,,,128.104.131.186,0,2015-12-10 15:53:30,2015-12-10 15:54:48,1,LL-Kramer,MWPF308,question_first,,,1.0,no strategy,no,20.0,,75.0,5.0,1.0,23.0,1.0,1.0,none,43.0760955811,-89.4104003906,-1,
R_1JWRjWmjqKRI4P8,Default Response Set,Anonymous,,,128.104.131.186,0,2015-12-11 12:32:40,2015-12-11 12:34:25,1,LL-Kramer,MWPF310,question_first,,,1.0,I would have to read the sentence to myself to help  me remember it. ,"They weren't difficult but sometimes I would be too vague for the question. For example, ""are deer yellow?"" In my mind they are like a tan color but I said yes anyway because I was too vague about my color choice!",35.0,,90.0,5.0,1.0,18.0,2.0,1.0,Learning French but no fluent in it! ,43.0760955811,-89.4104003906,-1,
R_1NfaxfVPEFlpRgT,Default Response Set,Anonymous,,,128.104.131.183,0,2015-12-11 13:13:08,2015-12-11 13:14:28,1,LL-Jerry,MWPF313,question_first,,,1.0,i tried to identify what word they were saying by the initial letter and sound to make a quicker decision,,45.0,,50.0,4.0,1.0,20.0,2.0,1.0,,43.0760955811,-89.4104003906,-1,
R_31c97DjtTZQfwaJ,Default Response Set,Anonymous,,,128.104.131.70,0,2015-12-11 13:13:34,2015-12-11 13:16:11,1,LL-George,MWPF311,question_first,,,1.0,"Throughout the task I noticed that the same words were being repeated. When I saw the question, I started thinking of possible words that have been repeated during the task that would make it yes.","I was asked a question if a bottle had a cork. I said yes because wine bottles do have corks however, it said I was wrong. ",60.0,,80.0,4.0,1.0,18.0,2.0,1.0,,43.0760955811,-89.4104003906,-1,
R_2zUABw2CV5DHihN,Default Response Set,Anonymous,,,128.104.131.0,0,2015-12-11 13:16:41,2015-12-11 13:17:43,1,LL-ELAINE,MWPF312,question_first,,,1.0,no i did not,no i dont think so,80.0,,80.0,5.0,1.0,19.0,2.0,1.0,,43.0760955811,-89.4104003906,-1,
R_1M4LB3GCy02dHxP,Default Response Set,Anonymous,,,128.104.131.0,0,2015-12-12 11:50:14,2015-12-12 11:51:31,1,LL-ELAINE,MWPF314,question_first,,,1.0,avoided the colored box,,40.0,,50.0,5.0,1.0,19.0,2.0,1.0,none,43.0760955811,-89.4104003906,-1,
R_Z1NzYjAz63v1luN,Default Response Set,Anonymous,,,128.104.131.186,0,2015-12-12 12:17:19,2015-12-12 12:18:57,1,LL-Kramer,MWPF315,question_first,,,1.0,No,Pretty sure pigs have whiskers :),50.0,,76.0,4.0,1.0,19.0,2.0,1.0,,43.0760955811,-89.4104003906,-1,
R_2SwdX3RcY4piRcj,Default Response Set,Anonymous,,,128.104.131.186,0,2015-12-14 16:35:13,2015-12-14 16:36:03,1,LL-Kramer,MWPF_316,question_first,,,1.0,No,No,40.0,,61.0,4.0,1.0,18.0,1.0,1.0,,43.0760955811,-89.4104003906,-1,
R_3Gqepp8KhbHZiGY,Default Response Set,Anonymous,,,128.104.131.70,0,2015-12-14 16:38:20,2015-12-14 16:39:52,1,LL-George,MWPF_317,question_first,,,1.0,Anticipated possible words after reading sentance,No ,0.0,,69.0,4.0,1.0,19.0,1.0,1.0,None,43.0760955811,-89.4104003906,-1,
R_3ND8PsYghQ8fo32,Default Response Set,Anonymous,,,128.104.131.0,0,2015-12-14 17:03:07,2015-12-14 17:04:38,1,LL-ELAINE,MWPF_318,question_first,,,1.0,Sometimes I would assume what object they would say next based on the question. ,No,100.0,,70.0,4.0,1.0,21.0,2.0,1.0,None,43.0760955811,-89.4104003906,-1,
R_2duaI4cfhuDnaeI,Default Response Set,Anonymous,,,128.104.131.183,0,2015-12-14 17:09:07,2015-12-14 17:10:51,1,LL-Jerry,MWPF_319,question_first,,,1.0,nope just staying focused was the best strategy.,Nope,29.0,,35.0,5.0,1.0,19.0,1.0,1.0,,43.0760955811,-89.4104003906,-1,
R_p3k9QawybEpVqut,Default Response Set,Anonymous,,,128.104.131.0,0,2015-12-15 15:09:56,2015-12-15 15:11:06,1,LL-ELAINE,MWPF_321,question_first,,,1.0,I tried to think of possibilities before they said the word.  ,Nothing I can remember. ,26.0,3.0,60.0,5.0,1.0,19.0,2.0,1.0,none,43.0760955811,-89.4104003906,-1,
